path,extension,size_bytes,size_kb,size_mb
openvas_jboss_wildfly_10.1.0.Final/openvas_jboss_wildfly_10.1.0.Final_images.pdf,.pdf,9018541,8807.1689453125,8.600750923156738
openvas_httpd_2.4.49/openvas_httpd_2.4.49_images.pdf,.pdf,8082126,7892.701171875,7.70771598815918
openvas_dovecot_dovecot/openvas_dovecot_dovecot_images.pdf,.pdf,7804679,7621.7568359375,7.443121910095215
openvas_grafana_grafana_5.1.0/openvas_grafana_grafana_5.1.0_images.pdf,.pdf,7355224,7182.8359375,7.014488220214844
openvas_ismisepaul_securityshepherd/openvas_ismisepaul_securityshepherd_images.pdf,.pdf,7336989,7165.0283203125,6.997097969055176
openvas_erev0s_vampi/openvas_erev0s_vampi_images.pdf,.pdf,6592960,6438.4375,6.28753662109375
openvas_redis_3.2/openvas_redis_3.2_images.pdf,.pdf,6006191,5865.4208984375,5.727950096130371
openvas_drupal_7/openvas_drupal_7_images.pdf,.pdf,5699653,5566.0673828125,5.435612678527832
openvas_redis_4.0/openvas_redis_4.0_images.pdf,.pdf,5516840,5387.5390625,5.261268615722656
openvas_osixia_openldap_1.2.0/openvas_osixia_openldap_1.2.0_images.pdf,.pdf,5422982,5295.880859375,5.171758651733398
openvas_nginx_1.12/openvas_nginx_1.12_images.pdf,.pdf,5152363,5031.6044921875,4.9136762619018555
openvas_nginx_1.10/openvas_nginx_1.10_images.pdf,.pdf,5087855,4968.6083984375,4.852156639099121
openvas_sonatype_nexus_2.14.4/openvas_sonatype_nexus_2.14.4_images.pdf,.pdf,4830046,4716.841796875,4.606290817260742
openvas_nginx_1.14/openvas_nginx_1.14_images.pdf,.pdf,4753230,4641.826171875,4.53303337097168
openvas_kennethreitz_httpbin/openvas_kennethreitz_httpbin_images.pdf,.pdf,4645787,4536.9013671875,4.430567741394043
openvas_redis_5.0/openvas_redis_5.0_images.pdf,.pdf,4511624,4405.8828125,4.302619934082031
openvas_elasticsearch_5.6/openvas_elasticsearch_5.6_images.pdf,.pdf,4227929,4128.8369140625,4.03206729888916
openvas_elasticsearch_2.4.6/openvas_elasticsearch_2.4.6_images.pdf,.pdf,4022790,3928.505859375,3.8364315032958984
openvas_postgres_9.3/openvas_postgres_9.3_images.pdf,.pdf,4018298,3924.119140625,3.8321475982666016
openvas_elasticsearch_2.4/openvas_elasticsearch_2.4_images.pdf,.pdf,3990697,3897.1650390625,3.8058252334594727
openvas_sonarqube_6.7/openvas_sonarqube_6.7_images.pdf,.pdf,3925540,3833.53515625,3.7436866760253906
openvas_couchdb_1.6/openvas_couchdb_1.6_images.pdf,.pdf,3913009,3821.2978515625,3.731736183166504
openvas_sonarqube_7.0/openvas_sonarqube_7.0_images.pdf,.pdf,3911175,3819.5068359375,3.729987144470215
openvas_jmalloc_echo-server/openvas_jmalloc_echo-server_images.pdf,.pdf,3867868,3777.21484375,3.6886863708496094
openvas_tleemcjr_metasploitable2/openvas_tleemcjr_metasploitable2_xml.json,.json,3847951,3757.7646484375,3.669692039489746
openvas_postgres_9.4/openvas_postgres_9.4_images.pdf,.pdf,3778903,3690.3349609375,3.6038427352905273
openvas_bkimminich_juice-shop/openvas_bkimminich_juice-shop_images.pdf,.pdf,3717154,3630.033203125,3.544954299926758
openvas_postgres_9.5/openvas_postgres_9.5_images.pdf,.pdf,3276182,3199.396484375,3.124410629272461
openvas_ianwijaya_hackazon/openvas_ianwijaya_hackazon_xml.json,.json,3080900,3008.69140625,2.9381752014160156
openvas_mongo_3.6/openvas_mongo_3.6_images.pdf,.pdf,3079671,3007.4912109375,2.9370031356811523
openvas_mprasil_dokuwiki/openvas_mprasil_dokuwiki_images.pdf,.pdf,3011019,2940.4482421875,2.8715314865112305
openvas_heywoodlh_vulnerable/openvas_heywoodlh_vulnerable_xml.json,.json,3000783,2930.4521484375,2.861769676208496
openvas_redmine_3.3/openvas_redmine_3.3_images.pdf,.pdf,2954361,2885.1181640625,2.817498207092285
openvas_jboss_wildfly_8.2.1.Final/openvas_jboss_wildfly_8.2.1.Final_images.pdf,.pdf,2868705,2801.4697265625,2.7358102798461914
openvas_jboss_wildfly_9.0.2.Final/openvas_jboss_wildfly_9.0.2.Final_images.pdf,.pdf,2865705,2798.5400390625,2.7329492568969727
openvas_kirscht_metasploitable3-ub1404/openvas_kirscht_metasploitable3-ub1404_xml.json,.json,2823087,2756.9208984375,2.692305564880371
openvas_schickling_mailcatcher/openvas_schickling_mailcatcher_images.pdf,.pdf,2818243,2752.1904296875,2.687685966491699
openvas_prom_prometheus_v2.15.2/openvas_prom_prometheus_v2.15.2_images.pdf,.pdf,2805975,2740.2099609375,2.6759862899780273
openvas_tomcat_8.0/openvas_tomcat_8.0_images.pdf,.pdf,2643217,2581.2666015625,2.520768165588379
openvas_tomcat_7.0.94/openvas_tomcat_7.0.94_images.pdf,.pdf,2641774,2579.857421875,2.5193920135498047
openvas_webgoat_webgoat/openvas_webgoat_webgoat_images.pdf,.pdf,2578613,2518.1767578125,2.4591569900512695
openvas_vulhub_tomcat_9.0.30/openvas_vulhub_tomcat_9.0.30_images.pdf,.pdf,2500209,2441.6103515625,2.384385108947754
openvas_citizenstig_nowasp/openvas_citizenstig_nowasp_xml.json,.json,2271867,2218.6201171875,2.166621208190918
openvas_raesene_bwapp/openvas_raesene_bwapp_xml.json,.json,2231826,2179.517578125,2.1284351348876953
openvas_adamdoupe_wackopicko/openvas_adamdoupe_wackopicko_xml.json,.json,2230670,2178.388671875,2.1273326873779297
openvas_hackersploit_bwapp-docker/openvas_hackersploit_bwapp-docker_xml.json,.json,2228740,2176.50390625,2.1254920959472656
openvas_memcached_1.4/openvas_memcached_1.4_images.pdf,.pdf,2216625,2164.6728515625,2.113938331604004
openvas_consul_0.9.0/openvas_consul_0.9.0_images.pdf,.pdf,2114444,2064.88671875,2.016490936279297
openvas_kibana_4.6/openvas_kibana_4.6_images.pdf,.pdf,2069777,2021.2666015625,1.973893165588379
openvas_kibana_5.6/openvas_kibana_5.6_images.pdf,.pdf,2064131,2015.7529296875,1.9685087203979492
openvas_caddy_2.0.0/openvas_caddy_2.0.0_images.pdf,.pdf,2033635,1985.9716796875,1.9394254684448242
openvas_mongo_3.4/openvas_mongo_3.4_images.pdf,.pdf,2031099,1983.4951171875,1.937006950378418
