extension,count,total_mb,total_kb,total_bytes,min_mb,max_mb,mean_mb,median_mb,min_kb,max_kb,mean_kb,median_kb,min_bytes,max_bytes,mean_bytes,median_bytes,std_dev_bytes
.csv,130,9.29343032836914,9516.47265625,9744868,0.005366325378417969,0.7328252792358398,0.07148792560283955,0.029871463775634766,5.4951171875,750.4130859375,73.2036358173077,30.58837890625,5627,768423,74960.52307692308,31322.5,129515.55209193125
.docx,130,7.5804901123046875,7762.421875,7948720,0.03804206848144531,0.2842283248901367,0.05831146240234375,0.04519176483154297,38.955078125,291.0498046875,59.7109375,46.2763671875,39890,298035,61144,47387.0,39844.46252462152
.json,130,60.72319030761719,62180.546875,63672880,0.0307159423828125,3.669692039489746,0.4671014639047476,0.30993080139160156,31.453125,3757.7646484375,478.31189903846155,317.369140625,32208,3847951,489791.3846153846,324986.0,644715.5170734312
.pdf,260,1512.8773727416992,1549186.4296875,1586366904,0.10871315002441406,123.14521503448486,5.8187591259296125,0.8750805854797363,111.322265625,126100.7001953125,5958.409344951923,896.08251953125,113994,129127117,6101411.169230769,917588.5,15997275.533596804
.txt,130,11.611003875732422,11889.66796875,12175020,0.006762504577636719,0.9526729583740234,0.08931541442871094,0.0326685905456543,6.9248046875,975.537109375,91.458984375,33.45263671875,7091,998950,93654,34255.5,163829.14907678915
.xlsx,130,3.34320068359375,3423.4375,3505600,0.00775146484375,0.21893787384033203,0.02571692833533654,0.014985084533691406,7.9375,224.1923828125,26.334134615384617,15.3447265625,8128,229573,26966.153846153848,15713.0,33900.10198001206
.xml,130,34.112327575683594,34931.0234375,35769368,0.020084381103515625,1.881072998046875,0.2624025198129507,0.2004222869873047,20.56640625,1926.21875,268.7001802884615,205.232421875,21060,1972448,275148.9846153846,210158.0,323103.4084167589
